"date","weight_kg","fat_percent","neck_in","shoulder_in","chest_in","left_bicep_in","right_bicep_in","left_forearm_in","right_forearm_in","abdomen_in","waist_in","hips_in","left_thigh_in","right_thigh_in","left_calf_in","right_calf_in"
"14 Jan 2025, 00:00",78.7,,,,,,,,,,,,,,,
"19 Jan 2025, 00:00",79.38,,,,,,,,,,,,,,,
"20 Jan 2025, 00:00",79.7,,,,,,,,,,,,,,,
"26 Jan 2025, 00:00",77.79,22.3,,,,,,,,,,,,,,
"29 Jan 2025, 00:00",78.38,,,,,,,,,,,,,,,
"2 Feb 2025, 00:00",76.97,,,,,,,,,,,,,,,
"4 Feb 2025, 00:00",77.47,,,,,,,,,,,,,,,
"6 Feb 2025, 00:00",77.38,,,,,,,,,,,,,,,
"9 Feb 2025, 00:00",77.97,,,,,,,,,,,,,,,
"17 Feb 2025, 00:00",78.97,,,,,,,,,,,,,,,
"20 Feb 2025, 00:00",78.06,,,,,,,,,,,,,,,
"2 Mar 2025, 00:00",79.06,,,,,,,,,,,,,,,
"3 Mar 2025, 00:00",78.79,,,,,,,,,,,,,,,
"4 Mar 2025, 00:00",78.38,,,,,,,,,,,,,,,
"6 Mar 2025, 00:00",77.56,,,,,,,,,,,,,,,
"8 Mar 2025, 00:00",77.79,,,,,,,,,,,,,,,
"10 Mar 2025, 00:00",78.97,,,,,,,,,,,,,,,
"11 Mar 2025, 00:00",79.29,,,,,,,,,,,,,,,
"12 Mar 2025, 00:00",78.79,24,,,,,,,,,,,,,,
"13 Mar 2025, 00:00",78.56,,,,,,,,,,,,,,,
"15 Mar 2025, 00:00",79.2,,,,,,,,,,,,,,,
"17 Mar 2025, 00:00",79.06,,,,,,,,,,,,,,,
"11 Apr 2025, 00:00",82.19,,,,,,,,,,,,,,,
"12 Apr 2025, 00:00",81.47,,,,,,,,,,,,,,,
"24 Apr 2025, 00:00",82.69,,,,,,,,,,,,,,,
"25 Apr 2025, 00:00",82.28,,,,,,,,,,,,,,,
"26 Apr 2025, 00:00",81.87,,,,,,,,,,,,,,,
"27 Apr 2025, 00:00",81.69,,,,,,,,,,,,,,,
"28 Apr 2025, 00:00",81.87,,,,,,,,,,,,,,,
"29 Apr 2025, 00:00",81.37,,,,,,,,,,,,,,,
"30 Apr 2025, 00:00",80.97,,,,,,,,,,,,,,,
"1 May 2025, 00:00",80.97,,,,,,,,,,,,,,,
"2 May 2025, 00:00",81.06,,,,,,,,,,,,,,,
"3 May 2025, 00:00",81.69,,,,,,,,,,,,,,,
"4 May 2025, 00:00",81.47,,,,,,,,,,,,,,,
"6 May 2025, 00:00",81.78,,,,,,,,,,,,,,,
"7 May 2025, 00:00",82.05,,,,,,,,,,,,,,,
"8 May 2025, 00:00",81.37,,,,,,,,,,,,,,,
"9 May 2025, 00:00",81.37,,,,,,,,,,,,,,,
"10 May 2025, 00:00",82.69,,,,,,,,,,,,,,,
"11 May 2025, 00:00",82.46,,,,,,,,,,,,,,,
"13 May 2025, 00:00",83.37,,,,,,,,,,,,,,,
"14 May 2025, 00:00",82.69,,,,,,,,,,,,,,,
"15 May 2025, 00:00",81.69,,,,,,,,,,,,,,,
"16 May 2025, 00:00",81.19,,,,,,,,,,,,,,,
"17 May 2025, 00:00",81.28,,,,,,,,,,,,,,,
"18 May 2025, 00:00",80.88,,,,,,,,,,,,,,,
"19 May 2025, 00:00",81.47,,,,,,,,,,,,,,,
"20 May 2025, 00:00",80.47,,,,,,,,,,,,,,,
"21 May 2025, 00:00",80.69,,,,,,,,,,,,,,,
"22 May 2025, 00:00",80.47,,,,,,,,,,,,,,,
"23 May 2025, 00:00",80.47,24,,,,,,,,,,,,,,
"24 May 2025, 00:00",79.56,,,,,,,,,,,,,,,
"25 May 2025, 00:00",80.47,,,,,,,,,,,,,,,
"26 May 2025, 00:00",80.38,,,,,,,,,,,,,,,
"27 May 2025, 00:00",80.47,,,,,,,,,,,,,,,
"28 May 2025, 00:00",80.56,,,,,,,,,,,,,,,
"29 May 2025, 00:00",80.88,,,,,,,,,,,,,,,
"2 Jun 2025, 00:00",80.69,,,,,,,,,,,,,,,
"3 Jun 2025, 00:00",80.69,,,,,,,,,,,,,,,
"5 Jun 2025, 00:00",80.06,,,,,,,,,,,,,,,
"6 Jun 2025, 00:00",80.38,,,,,,,,,,,,,,,
"9 Jun 2025, 00:00",81.06,,,,,,,,,,,,,,,
"12 Jun 2025, 00:00",80.88,,,,,,,,,,,,,,,
"14 Jun 2025, 00:00",80,,,,,,,,,,,,,,,
"17 Jun 2025, 00:00",80.78,,,,,,,,,,,,,,,
"22 Jun 2025, 00:00",81.69,,,,,,,,,,,,,,,
"25 Jun 2025, 00:00",81.47,,,,,,,,,,,,,,,
"30 Jun 2025, 00:00",82.19,,,,,,,,,,,,,,,
"1 Jul 2025, 00:00",82.55,,,,,,,,,,,,,,,
"24 Jul 2025, 00:00",84.1,,,,,,,,,,,,,,,
"1 Aug 2025, 00:00",83.37,25.4,,,,,,,,,,,,,,
"5 Aug 2025, 00:00",84.59,,,,,,,,,,,,,,,
"9 Aug 2025, 00:00",84.69,,,,,,,,,,,,,,,
"11 Aug 2025, 00:00",85.28,,,,,,,,,,,,,,,
"16 Aug 2025, 00:00",84.46,,,,,,,,,,,,,,,
"17 Aug 2025, 00:00",84.46,,,,,,,,,,,,,,,
"22 Aug 2025, 00:00",84.28,,,,,,,,,,,,,,,
"23 Aug 2025, 00:00",83.96,,,,,,,,,,,,,,,
"24 Aug 2025, 00:00",84.1,,,,,,,,,,,,,,,
"27 Aug 2025, 00:00",83.96,,,,,,,,,,,,,,,
"28 Aug 2025, 00:00",83.96,,,,,,,,,,,,,,,
"29 Aug 2025, 00:00",83.69,,,,,,,,,,,,,,,
"30 Aug 2025, 00:00",83.78,,,,,,,,,,,,,,,
"6 Sep 2025, 00:00",84.1,,,,,,,,,,,,,,,
"7 Sep 2025, 00:00",84.46,,,,,,,,,,,,,,,
"13 Sep 2025, 00:00",84.19,,,,,,,,,,,,,,,
"14 Sep 2025, 00:00",84.87,,,,,,,,,,,,,,,
"15 Sep 2025, 00:00",84.37,26.6,,,,,,,,,,,,,,
"16 Sep 2025, 00:00",85.09,27,,,,,,,,,,,,,,
"17 Sep 2025, 00:00",85.09,,,,,,,,,,,,,,,
"18 Sep 2025, 00:00",84.46,26.8,,,,,,,,,,,,,,
"19 Sep 2025, 00:00",85.18,27,,,,,,,,,,,,,,
"20 Sep 2025, 00:00",84.28,26.5,,,,,,,,,,,,,,
"22 Sep 2025, 00:00",84.69,26.9,,,,,,,,,,,,,,
"23 Sep 2025, 00:00",84.87,26.9,,,,,,,,,,,,,,
"24 Sep 2025, 00:00",84.4,,,,,,,,,,,,,,,
"25 Sep 2025, 00:00",84.46,26.8,,,,,,,,,,,,,,
"26 Sep 2025, 00:00",84.59,26.9,,,,,,,,,,,,,,
"27 Sep 2025, 00:00",84.46,26.8,,,,,,,,,,,,,,
"28 Sep 2025, 00:00",84.46,26.8,,,,,,,,,,,,,,
"30 Sep 2025, 00:00",84.69,,,,,,,,,,,,,,,
"2 Oct 2025, 00:00",84.69,,,,,,,,,,,,,,,
"3 Oct 2025, 00:00",84.59,26.8,,,,,,,,,,,,,,
"4 Oct 2025, 00:00",84.96,,,,,,,,,,,,,,,
